"bgreporthash","sitecode","sitename","project_year","project_title","impact"
"848e80b57c36c79d7de3f7d816b97344","DE4415401","Vogelschutzgebiet Hellwegbörde","2010","Bebauungsplan Landhandel Langeneicke",""
"848e80b57c36c79d7de3f7d816b97344","DE6507301","Prims","2010","Bebauungs-Plan ""Über Prims""",""
"848e80b57c36c79d7de3f7d816b97344","DE6715401","Offenbacher Wald, Bellheimer Wald und Queichwiesen","2009","Neubau eines logistischen Verteilerzentrum, US-Depot Germersheim",""
"848e80b57c36c79d7de3f7d816b97344","DE6716402","Berghausener und Lingenfelder Altrhein mit Insel Flotzgrün","2010","Erweiterung Flughafen Speyer",""
"848e80b57c36c79d7de3f7d816b97344","DE7820441","Südwestalb und Oberes Donautal","2012","10. Änderung und Erweiterung Bebauungsplan Katzensteige, Meßstetten-Tieringen",""
"7a9acd609d6e9e49dff3f76caa46985c","BE2300222","-‘De Kuifeend en Blokkersdijk’","2009","AMORAS Antwerpse Mechanische Ontwatering, Recyclage en Applicatie van Slib","Disappearance of 33 ha eutrophic pond and 3 ha reed area and 15 ha scrubs. Compensation by 240 ha wetlands, nature buffers to mitigate disturbance, nesting area for Black-Headed Gull, development and management of grassland and forested areas."
"7a9acd609d6e9e49dff3f76caa46985c","BE2301336","-‘Schorren en polders van de Beneden Schelde’","2009","AMORAS Antwerpse Mechanische Ontwatering, Recyclage en Applicatie van Slib","Disappearance of 33 ha eutrophic pond and 3 ha reed area and 15 ha scrubs. Compensation by 240 ha wetlands, nature buffers to mitigate disturbance, nesting area for Black-Headed Gull, development and management of grassland and forested areas."
"7a9acd609d6e9e49dff3f76caa46985c","BE2300006","- ‘Schelde- en Durmeëstuarium van de Nederlandse grens tot Gent’","2009","AMORAS Antwerpse Mechanische Ontwatering, Recyclage en Applicatie van Slib","Disappearance of 33 ha eutrophic pond and 3 ha reed area and 15 ha scrubs. Compensation by 240 ha wetlands, nature buffers to mitigate disturbance, nesting area for Black-Headed Gull, development and management of grassland and forested areas."
"7a9acd609d6e9e49dff3f76caa46985c","BE2100045","- ‘Historische fortengordels van Antwerpen als vleermuizenhabitat’","2009","AMORAS Antwerpse Mechanische Ontwatering, Recyclage en Applicatie van Slib","Disappearance of 33 ha eutrophic pond and 3 ha reed area and 15 ha scrubs. Compensation by 240 ha wetlands, nature buffers to mitigate disturbance, nesting area for Black-Headed Gull, development and management of grassland and forested areas."
"7a9acd609d6e9e49dff3f76caa46985c","BE2301336","Schorren en polders Benden-Schelde","2010","2de Zeesluis Waaslandhaven","- Impact on habitat of gulls: compensation by development of wetland zones and nesting places in other location - Impact on habitat of Natterjack Toad: compensation by development of toad habitat in other zones of project site"
"68f8415419f2da79d7febba1cdfc9ea4","MT0000000","N/A","2012","N/A","N/A"
"90ce9bcac81b3236edc70d3e1fc070db","SE0810475","Umeälvens delta och slätter","2006","Botniabanan",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9015022","Severn Estuary SPA","2010","Port of Bristol development (berths and channel)",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9015022","Severn Estuary SPA","2010","Parrett Estuary Flood Risk Management Strategy",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9012031","Medway Estuary and Marshes SPA","2011","Medway Estuary and Swale Shoreline Management Plan","Scheme also includes The Swale SPA (UK9012011)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9012011","The Swale SPA","2011","Medway Estuary and Swale Shoreline Management Plan","Scheme also includes Medway Estuary and Marshes SPA (UK9012031)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9012021","Thames Estuary and Marshes SPA","2011","Isle of Grain to South Foreland Shoreline Management Plan","Scheme also includes Thanet Coast and Sandwich Bay SPA (UK9012071) and The Swale SPA (UK9012011)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9012071","Thanet Coast and Sandwich Bay SPA","2011","Isle of Grain to South Foreland Shoreline Management Plan","Scheme also includes Thames Estuary and Marshes SPA (UK9012021) and The Swale SPA (UK9012011)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9012011","The Swale SPA","2011","Isle of Grain to South Foreland Shoreline Management Plan","Scheme also includes Thames Estuary and Marshes SPA (UK9012021) and Thanet Coast and Sandwich Bay SPA (UK9012071)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9012091","Dungeness to Pett Levels SPA","2011","South Foreland to Beachy Head Shoreline Management Plan",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9011061","Solent and Southampton Water SPA","2011","Isle of Wight Shoreline Management Plan",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9011061","Solent and Southampton Water SPA","2011","North Solent Shoreline Management Plan","Scheme also includes Portsmouth Harbour SPA (UK9011051) and Chichester and Langstone Harbours SPA (UK9011011)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9011051","Portsmouth Harbour SPA","2011","North Solent Shoreline Management Plan","Scheme also includes Solent and Southampton Water SPA (UK9011061) and Chichester and Langstone Harbours SPA (UK9011011)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9011011","Chichester and Langstone Harbours SPA","2011","North Solent Shoreline Management Plan","Scheme also includes Solent and Southampton Water SPA (UK9011061) and Portsmouth Harbour SPA (UK9011051)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9006111","Humber Estuary SPA","2011","Flamborough Head to Gibraltar Point Shoreline Management Plan",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9010081","Exe Estuary SPA","2011","South Devon and Dorset Shoreline Management Plan","Scheme also includes Tamar Estuaries Complex SPA (UK9010141)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9010141","Tamar Estuaries Complex SPA","2011","South Devon and Dorset Shoreline Management Plan","Scheme also includes Exe Estuary SPA (UK9010081)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9011061","Solent and Southampton Water SPA","2011","Hurst Spit to Durlston Head Shoreline Management Plan","Scheme also includes Dorset Heathlands SPA (UK9010101) and Poole Harbour SPA (UK9010111)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9010111","Poole Harbour SPA","2011","Hurst Spit to Durlston Head Shoreline Management Plan","Scheme also includes Solent and Southampton Water SPA (UK9011061) and Dorset Heathlands SPA (UK9010101)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9010101","Dorset Heathlands SPA","2011","Hurst Spit to Durlston Head Shoreline Management Plan","cheme also includes Solent and Southampton Water SPA (UK9011061) and Poole Harbour SPA (UK9010111)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9009031","North Norfolk Coast SPA","2011","North Norfolk Shoreline Management Plan",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9009291","Benacre Broad to Easton Bavents SPA","2011","Suffolk Shoreline Management Plan","Scheme also includes Minsmere-Walberswick Heaths and Marshes SPA (UK9009101)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9009101","Minsmere-Walberswick Heaths and Marshes SPA","2011","Suffolk Shoreline Management Plan","Scheme also includes Benacre Broad to Easton Bavents SPA (UK9009291)"
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9006061","Teesmouth and Cleveland Coast SPA","2011","Tees Tidal Flood Risk Management Strategy",""
"b1ed6d2f207ef8d6f4b5dd99a7d533fe","UK9009031","North Norfolk Coast SPA","2009","RSPB Titchwell Coastal Change Project","Provision of habitat for breeding Avocets Recurvirostra avosetta at RSPB Frampton Marsh reserve, adjacent to The Wash SPA (UK9008021). (Managed re-alignment to address coastal erosion of North Norfolk Coast SPA)."
"d99e09e57326bcc4d9943559ebb456b0","HUFH30004","„Szigetköz”","2009","Vízügyi és Környezetvédelmi Központi Igazgatóság- a Mosoni- Duna jobb parti fővédvonal folytatásaként, a 30+569 tkm szelvénytől a 36+129 tkm szelvényig Mecsér község területén tervezett új árvízvédelmi töltés","A beruházással érintett területen megtalálható a 6440 kódszámú, „Folyóvölgyek Cnidion dubiihoz tartozó mocsárrétjei” elnevezésű Natura 2000 jelölő növénytársulás. Egyéb jelölő fajt vagy élőhelyet a beruházás nem érint. A Mecsér község külterületén tervezett árvízvédelmi töltés 3,84 hektár kiterjedésben szüntet meg „Folyóvölgyek Cnidion dubiihoz tartozó mocsárrétjei” elnevezésű NATURA 2000 jelölő élőhelyet. A kompenzációs intézkedésként előírták az Ásványráró 0215/3 hrsz- ú Natura 2000 rétként nyilvántartott terület helyreállítását, amelyet 2022. december 31- ig kell megvalósítani. A kiegyenlítő intézkedés célja: a 6510 számú, „Sík- és dombvidéki kaszálórétek (Alopecurus pratensis, Sanguisorba officinalis)”, 6440 számú „Folyóvölgyek Cnidion dubiihoz tartozó mocsárrétjei” és a 6410 számú „Kékperjés láprétek meszes, tőzeges vagy agyagbemosódásos talajokon (Molinion caeruleae)” élőhelytípusok helyreállítása az ingatlan legalább 20 ha nagyságú részletén. A munkálatok folyamatban vannak."
"d73a8fda9dff245568a26477fcc1cbd9","IT3321002","Alpi Giulie","2007","Polo sciistico Sella Nevea – Infrastrutture per lo sci relative al collegamento Rifugio Gilberti Sella Prevala in Comune di Chiusaforte (UD). Proponente: Promotur SpA Decreto finale di Valutazione di incidenza n. 2064 dd. 29.10.200",""
"d73a8fda9dff245568a26477fcc1cbd9","IT5330027","Gola di S.Eustachio, Monte d’Aria e Monte Letegge","2008","Impianto eolico in località Monte d’Aria, Serrapetrona MC",""
"d73a8fda9dff245568a26477fcc1cbd9","IT5310030","Monte Nerone e Monti di Montiego","2010","Variante generale al Programma Provinciale delle Attività Estrattive di Pesaro e Urbino",""
"d73a8fda9dff245568a26477fcc1cbd9","IT5310031","Monte Catria, Monte Acuto, Monte della Strega","2010","Variante generale al Programma Provinciale delle Attività Estrattive di Pesaro e Urbino",""
"d73a8fda9dff245568a26477fcc1cbd9","IT5330029","Piano degli insediamenti produttivi. Variante al Piano Dalla Gola del Fiastrone al Monte Vettore","2009","Piano degli insediamenti produttivi. Variante al Piano attuativo di Arquata del Tronto (AP)",""
"d73a8fda9dff245568a26477fcc1cbd9","ITA020049","Monte Pecoraro e Pizzo Cirina","2012","Progetto definitivo della VI vasca da adibire a discarica per rifiuti non pericolosi presso la piattaforma impiantistica di Bellolampo – S.P. n.1 km4+900 nel territorio del Comune di Palermo Approvato con DDG n.580 del 24/10/2012",""
"d73a8fda9dff245568a26477fcc1cbd9","IT1140016","Alpi Veglia e Devero - Monte Giove","2011","Progetto: Razionalizzazione e potenziamento impianti di risalita stazione sciistica San Domentico – Comune Varzo (VB) (cod SIVIA 2011-4/VAL)",""
"d73a8fda9dff245568a26477fcc1cbd9","IT1110080","Val Troncea","2011","Lavori di disalveo del torrente Chisone comune Pragelato (TO) (Cod. SiVIA 2011-36/VI)",""
"d73a8fda9dff245568a26477fcc1cbd9","IT1120021","Risaie Vercellesi","2010","Costruzione di impianto di cogenerazione alimentato a biogas proveniente dalla digestione anaerobica di produzioni vegetali aziendali (conversione di superfice coltivata a riso in altra coltura).",""
"d78748a156d256d70d72e8dc82a7ab22","PLB080005","Jeziora Pszczewskie i Dolina Obry","2007","Budowa autostrady A2 odcinek Świecko – Nowy Tomyśl","Opisano w Standardowym Formularzu Komunikacyjnym przekazanym KE w 2009 r. i ponownie w 2010 r."
"d78748a156d256d70d72e8dc82a7ab22","PLB320018","Jeziora Wełtyńskie","2007","Budowa drogi S3 na odcinku Szczecin (Klucz) - węzeł ""Gorzów Północ"" km 0+000 - 81+613","Opisano w Standardowym Formularzu Komunikacyjnym przekazanym KE w 2009 r. oraz kolejno w 2011 r. i 2012 r."
"d78748a156d256d70d72e8dc82a7ab22","PLB040003","Dolina Dolnej Wisły","2009","Budowa przeprawy mostowej przez rzekę Wisłę koło Kwidzyna wraz z dojazdami w ciągu drogi krajowej nr 90","Opisano w Standardowym Formularzu Komunikacyjnym przekazanym KE w 2011 r."
"d78748a156d256d70d72e8dc82a7ab22","PLB020002","Grądy Odrzańskie","2011","Budowa drogi wojewódzkiej od drogi krajowej nr 94 do drogi wojewódzkiej nr 455 wraz z ich węzłami","Opisano w Standardowym Formularzu Komunikacyjnym przekazanym KE w 2011 r."
"c03ec40e40e4ede4dedb99b8d7479923","PTCON0057","Serra do Caldeirão","2009","Parque Eólico de Malhanito","Da avaliação efectuada, identificaram-se impactes sobre a avifauna devido à perturbação do seu habitat e ao risco de colisão com os aerogeradores e linha eléctrica, salientando-se a presença na envolvente de ninhos de águia-de-Bonelli."
"c03ec40e40e4ede4dedb99b8d7479923","PTZPE0059","Torre da Bolsa","2008","Ligação Ferroviária de Alta Velocidade entre Madrid – Lisboa/Porto, 2ª fase. Corredor 1 – Elvas/Badajoz. Lote LTF – Elvas/Caia","Impactes potenciais: Perda de habitat; Efeito de exclusão; Afectação da área de lek da Abetarda; Abandono do dormitório de F. tinnunculus e F.naumanni; Mortalidade por colisão (catenárias, comboios); Impactes cumulativos com linhas eléctricas"
"c03ec40e40e4ede4dedb99b8d7479923","PTZPE0033","Pico da Vara/ Ribeira do Guilherme","2009","Obra de construção da adutora da Tronqueira","O mato Macaronésico, a Laurissilva, o Pombo-torcaz e o Priolo, espécies afetadas durante o projeto, têm de ser alvo de recuperação. Para isso, é necessário repor as espécies que servem de alimento para o Priolo, assim como reestruturar o seu habitat."
"28601ee5d42963e2d27387bbb7b71619","ROSPA0035","Domogled - Valea Cernei","2012","Drum de legatură DN 66A, Km 47+600 – Km 66+204, Campu lui Neag – Cerna",""
"28601ee5d42963e2d27387bbb7b71619","ROSPA0098","Piemontul Făgăraș","2009","Drum expres SIBIU – FĂGĂRAŞ",""
"28601ee5d42963e2d27387bbb7b71619","ROSCI0208","Putna - Vrancea","2012","REABILITARE DN2D FOCSANI – OJDULA – INTERSECTIE CU DN11, KM 0+000",""
"ad016042631be2dd1783bd98b1329e9d","AT3112000","Oberes Donautal","2008","1. Erweiterung der 30 kV Trafostation Untermühl von Kopf- auf Durchgangsstation durch Einbau eines 30 kV Kabelganges 2. Neuverlegung eines 30 kV Kabelsystems 3. Neubau einer 30 kV Ringverbindung","this field is left blank as it is optional"
"ad016042631be2dd1783bd98b1329e9d","AT3209022","Salzachauen","2008","Errichtung der Sohlabstufung Fluss-km 51,9 samt Begleitmaßnahmen im Europaschutzgebiet Salzachauen","this field is left blank as it is optional"
"ad016042631be2dd1783bd98b1329e9d","AT1210000","Steinfeld","2008","B17 Umfahrung Sollenau-Theresienfeld","this field is left blank as it is optional"
"b7fe8dd2ed923dd730a883bbfe2d841c","ES0000235","De S’Albufera a la Mola","2010","Ampliación del vertedero de residuos no peligrosos de Milà.","Afección a hábitats de interés comunitario"
"b7fe8dd2ed923dd730a883bbfe2d841c","ES0000337","Estrecho","2007","Segundo circuito de la interconexión eléctrica España-Marruecos","Afección a hábitats de interés comunitario"
"b7fe8dd2ed923dd730a883bbfe2d841c","ES0000210","Alto Sil","2012","Plan regional de ámbito sectorial de explotaciones a cielo abierto en Laciana y Babia (2009-2020)","Afección a hábitats de interés comunitario. Afección a especies prioritarias"
"27abe5eb4be41ecc92f0e0b4b167df10","NL2000011","Uiterwaarden Waal","2008","Stadsbrug Nijmegen",""
"27abe5eb4be41ecc92f0e0b4b167df10","NL3009006","Duinen Schiermonnikoog","2007","Eemshaven RWE",""
"27abe5eb4be41ecc92f0e0b4b167df10","NL3009005","Duinen Ameland","2007","Eemshaven RWE",""
"2257633935dcef7ed3067cc23f31269e","FR5412018","Plaines du Mirebalais et du Neuvillois","2009","LGV SEA Tour Angoulême",""
"2257633935dcef7ed3067cc23f31269e","FR5412022","Plaine de la Mothe St-Hérau Lezay","2009","LGV SEA Tour Angoulême",""
"2257633935dcef7ed3067cc23f31269e","FR5412021","Plaine de Villefagnan","2009","LGV SEA Tour Angoulême",""
"2257633935dcef7ed3067cc23f31269e","FR9112015","Costière Nîmoise","2010","contournement ferroviaire de Nîmes et Montpellier",""
"848e80b57c36c79d7de3f7d816b97344","DE0916491","Ramsar-Gebiet S-H Wattenmeer und angrenzende Küstengebiete","2012","Deckwerksverstärkung auf den Halligen",""
"848e80b57c36c79d7de3f7d816b97344","DE0916491","Ramsar-Gebiet S-H Wattenmeer und angrenzende Küstengebiete","2012","Deichverstärkung Nordstrand, Alter Koog",""
"848e80b57c36c79d7de3f7d816b97344","DE1747402","Greifswalder Bodden und südlicher Strelasund","2008","Steinkohlekraftwerk Lubmin (DONG)",""
"848e80b57c36c79d7de3f7d816b97344","DE2130491","Grönauer Heide","2009","Ausbau des Verkehrsflughafen Lübeck-Blankensee",""
"848e80b57c36c79d7de3f7d816b97344","DE2235402","Schweriner Seen","2009","Weiterbau der BAB A241 (A14) von der Anschlussstelle Schwerin-Nord (B104) bis zur Anschlussstelle Jesendorf (L101) und Verlegung der Kreisstraße",""
"848e80b57c36c79d7de3f7d816b97344","DE2832401","Niedersächsische Mittelelbe","2006","Vereinfachte Flurbereinigungsverfahren im Amt Neuhaus",""
"848e80b57c36c79d7de3f7d816b97344","DE4151421","Spreewald und Lieberoser Endmoräne","2009","Photovoltaik-Freiflächenanlage - Solarpark Turnow-Preilack",""
